Title,Price,Discount,Cashback
Ноутбук Lenovo V15 G2 ALC (82KD008XIX) Black,18949 ₴,- 2050 ₴,195 ₴
Акустика портативна JBL Flip 5 Black,4049 ₴,- 550 ₴,44 ₴
Бездротові навушники Apple AirPods Pro 2 White,10599 ₴,- 2100 ₴,115 ₴
Додатковий акумулятор Apple MagSafe Battery Pack MJWY3 1460mAh 5W,4199 ₴,- 900 ₴,39 ₴
Смартфон Apple iPhone 14 Pro Max 128GB eSIM Space Black,61799 ₴,- 22200 ₴,620 ₴
Смарт-годинник Apple Watch Series 8 GPS 41mm Starlight Aluminium Case with Starlight Sport Band,19699 ₴,- 1200 ₴,204 ₴
Смартфон Samsung Galaxy S22 Ultra S908 8/128GB Phantom Black,42899 ₴,- 4800 ₴,""
Мишка Apple Magic Mouse Black (MMMQ3),4299 ₴,- 800 ₴,44 ₴
Ноутбук Apple MacBook Air M1 2020 MGN63 Space Gray 13 256 GB,42299 ₴,- 2900 ₴,428 ₴
Смартфон Oppo A57s 4/64GB Starry Black,6399 ₴,- 2400 ₴,73 ₴
"Бездротові навушники Apple AirPods 2 White в футлярі для зарядки, вкладиші",4995 ₴,- 604 ₴,51 ₴
Ноутбук Acer Aspire 3 A315-57G-33NW,26827 ₴,"",268 ₴
Смартфон Xiaomi Redmi 9A 2/32GB Coral Green,3999 ₴,- 500 ₴,43 ₴
Планшет Samsung Galaxy X200 Tab A8 3/32GB WiFi Gray,7999 ₴,- 800 ₴,""
GPS-трекер Apple AirTag 1 Pack White,1799 ₴,- 200 ₴,19 ₴
Бездротові навушники Xiaomi Mi 2 Basic White True Wireless,935 ₴,"",19 ₴
"Ноутбук Apple MacBook Air 13, 6 M2 Starlight (MLY13) 2022",52199 ₴,- 3300 ₴,522 ₴
Смарт-годинник Xiaomi Amazfit T-Rex Khaki,4641 ₴,"",46 ₴
Електрична зубна щітка Remax GH-01 Blue,399 ₴,- 25 ₴,6 ₴
Смарт-годинник Xiaomi Amazfit GTR 2e Slate Gray,4699 ₴,- 427 ₴,48 ₴
Бездротові навушники Haylou MoriPods T33 Blue TWS,1010 ₴,"",20 ₴
Смартфон Xiaomi Redmi Note 11 4/64GB Twilight Blue,7799 ₴,- 700 ₴,80 ₴
Бездротові навушники Xiaomi Buds 3 White (BHR5526GL),2999 ₴,- 51 ₴,31 ₴
Смарт-годинник Xiaomi Amazfit T-Rex Army Green,4899 ₴,- 217 ₴,51 ₴
